"id","date","title","word_count","summary","controlled_tags","source_tags","has_images","wordpress_url","file_path"
"2012-10-02-the-same-amount-of-lee","2012-10-02","The Same Amount of Lee","373","This post was almost written last week. I've been flying to Charlotte, NC on Monday and returning on Friday. So my first opportunity to weigh myself has been on Saturday mornings. Last week and this week I did...","original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/10/02/the-same-amount-of-lee/","../src/content/blog/2012-10-02-the-same-amount-of-lee.md"
"2012-10-07-20-less-of-lee","2012-10-07","20% Less of Lee","389","There is now 20% less of Lee. I started this journey to health and fitness last April 13th (Lucky Friday the 13th), at 309lbs with a 55” belly. I am now 245.4 and have lost 7.5” around both...","capability-recovery; exercise; feasting; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/10/07/20-less-of-lee/","../src/content/blog/2012-10-07-20-less-of-lee.md"
"2012-10-17-less-of-lee-at-6-months","2012-10-17","Less of Lee at 6 Months","720","I started my journey to health and fitness 6 months ago. A bad night in the hospital had made it clear to me that there’s more at stake than an early death. Being sickly and in a hospital,...","capability-recovery; exercise; health-identity; nsv; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/10/17/less-of-lee-at-6-months/","../src/content/blog/2012-10-17-less-of-lee-at-6-months.md"
"2012-10-22-living-on-the-corner-of-disappointment-and-grattit","2012-10-22","Living on the Corner of Disappointment and Grattitude","520","I lost 2lbs this past week. That’s right on target, but my weight loss has clearly slowed down. Since I’m 60lbs away from goal, it’s very disappointing to be experiencing such a slow down already. I really can’t...","capability-recovery; exercise; family-responsibility; health-identity; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/10/22/living-on-the-corner-of-disappointment-and-grattitude/","../src/content/blog/2012-10-22-living-on-the-corner-of-disappointment-and-grattit.md"
"2012-10-30-run-lee-run","2012-10-30","Run Lee Run","366","Dropped 2.6lbs this week for 68lbs Less of Lee. It felt terrific coming after last week’s 2lb loss. I just might be back to the rate I had been losing back. Or not. As you know from my...","capability-recovery; exercise; humor-voice; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/10/30/run-lee-run/","../src/content/blog/2012-10-30-run-lee-run.md"
"2012-11-04-70lbs-down-with-visions-of-muscles-dancing-in-my-h","2012-11-04","70lbs Down with Visions of Muscles Dancing in My Head","331","I seem to be back on track. Down 2.2lbs for the week, and I hit the 70lbs loss mark and broke out of the 240’s. Time for some more visualization of the Lee to come. Not merely Less...","capability-recovery; exercise; family-responsibility; original-less-of-lee-journey","dumbbells; fitness; health; MyFitnessPal; pushup; weight-loss","true","https://lessoflee.wordpress.com/2012/11/04/70lbs-down-with-visions-of-muscles-dancing-in-my-head/","../src/content/blog/2012-11-04-70lbs-down-with-visions-of-muscles-dancing-in-my-h.md"
"2012-11-13-make-the-weight-gain-worth-it","2012-11-13","Make the Weight Gain Worth It","500","This past week was my first trip to Europe. I taught mobile application development to our European consultants in Split, Croatia. BTW, what a terrific place for a vacation. Absolutely beautiful, on the sea across from Italy. Ancient...","exercise; feasting; food-addiction; original-less-of-lee-journey","calories; drinking alcohol; eggs and bacon; food; health; low-carb; mobile application development; vinnie-tortorich; weight-loss","true","https://lessoflee.wordpress.com/2012/11/13/make-the-weight-gain-worth-it/","../src/content/blog/2012-11-13-make-the-weight-gain-worth-it.md"
"2012-11-21-battle-of-the-mind","2012-11-21","Battle of the Mind","109","My online friend Jess at www.toobig.net put up a cry for help post today. He’s had a bad time, been binging and is looking for help from those who have had to battle to lose weight.","mindset; original-less-of-lee-journey","affirmation; attitude; hobby; positive; weight-loss","false","https://lessoflee.wordpress.com/2012/11/21/177/","../src/content/blog/2012-11-21-battle-of-the-mind.md"
"2012-11-21-welcome-vinnie-tortorich-fans","2012-11-21","Welcome Vinnie Tortorich Fans","382","Today I appeared as a guest on the Vinnie Tortorich podcast. I thought I’d introduce myself and this blog to his fans. My wife and I had lost a combined 119lbs, about the weight of our youngest daughter...","a1c-labs; family-responsibility; health-identity; original-less-of-lee-journey","anna vocino; calories; diet; fitness; health; MyFitnessPal; podcast; vinnie-tortorich; weight watchers; weight-loss","true","https://lessoflee.wordpress.com/2012/11/21/169/","../src/content/blog/2012-11-21-welcome-vinnie-tortorich-fans.md"
"2012-11-27-the-secrets-to-my-success-8211-a-thanksgiving-stor","2012-11-27","The Secrets to My Success – A Thanksgiving Story","630","Thanksgiving is one day. It’s not one day that matters, but every day. I know, Thanksgiving was last week so this post is either a week late or 51 weeks early. For someone on a diet – what...","a1c-labs; family-responsibility; feasting; food-addiction; original-less-of-lee-journey","Atkins; diet; fitness; Gary Taubes; jimmy Moore; low-carb; MyFitnessPal; vinnie-tortorich; weight-loss","true","https://lessoflee.wordpress.com/2012/11/27/the-secrets-to-my-success-a-thanksgiving-story/","../src/content/blog/2012-11-27-the-secrets-to-my-success-8211-a-thanksgiving-stor.md"
"2012-11-30-chemistry-or-character","2012-11-30","Chemistry or Character","455","Everybody knows why we are fat. We eat too much and we move too little. Simple right? Well, Gary Taubes turns this notion on it’s head in the book “Why We Get Fat: And What to Do About...","exercise; feasting; mindset; nsv; original-less-of-lee-journey","calorie; character; fitness; Gary Taubes; low-carb; podcast; weight watchers; weight-loss","true","https://lessoflee.wordpress.com/2012/11/30/chemistry-or-character/","../src/content/blog/2012-11-30-chemistry-or-character.md"
"2012-12-03-no-longer-obese","2012-12-03","No Longer Obese","501","I reached a major milestone this past week, I am no longer obese. When I started this journey seven and a half months ago, I was morbidly obese at 309lbs. I am now merely over weight at 233lbs...","capability-recovery; exercise; health-identity; mindset; nsv; original-less-of-lee-journey","Athlete; Biggest Loser; couch potato; Jillian Michaels; Lottery; Obesity; Triatholon; vinnie-tortorich; weight-loss","true","https://lessoflee.wordpress.com/2012/12/03/no-longer-obese/","../src/content/blog/2012-12-03-no-longer-obese.md"
